url,ans,author,avatar,date,descrip,platform,points,source,title,type,...
https://vp.fact.qq.com/article?id=4914be9ca2fa4d9814f49244756e6822,<p/>,美国普渡大学农业与生物系食品工程专业博士,https://jiaozhen-70111.picnjc.qpic.cn/jS4N8yAiZqAJ46FkoDPdHc?imageView2/2/w/300/h/300,2020-02-04,不要吃淡水鱼！ 说是：钟南山提醒：很多地方有厕所搭在鱼塘上或者在鱼塘洗便桶的习惯，现在已经确认粪口传播病毒了！请帮忙确认。,腾讯较真,"<li><span class=""point_num"">1</span>钟南山院士说的是“粪便中也发现了病毒核酸，新型冠状病毒还存在一定粪口传播可能“。“存在核酸病毒”跟存在“活体病毒”并非一回事，只是“存在可能”。钟院士提醒“要高度警惕粪口传播的问题，在湖北、江西等部分地方，确实有使用便桶的习惯，还放在鱼塘里清洗，确实需引起防控”，是说这些途径有可能让病毒传播开来，而不是说“不能吃淡水鱼”。</li>
                <li><span class=""point_num"">2</span>存在粪口传播的寄生虫和病菌很多（比如蛔虫），如果因为“可能存在粪口传播”就不吃了，那么不仅淡水鱼，还有很多食物都不能吃了，水也不能喝了。正确的理解是注意个人卫生，避免接触粪便，彻底熟食。</li>","云无心,美国普渡大学农业与生物系食品工程专业博士",别吃淡水鱼！确认粪口传播，很多地方在鱼塘洗便桶,谣言,{}
https://vp.fact.qq.com/article?id=1326cfde51d2619b67b134efbba0a4c2,"<p><a href=""https://view.inews.qq.com/a/90Q54JC2D005DJ1V000?jumpType=1&amp;tbkt=G&amp;uid=100040937705"" target=""_self"">武汉大学中南医院张笑春医生在朋友圈中强烈建议用CT影像检测替代核酸检测，无症状、核酸阴性、CT阳性的患者不可居家隔离，须集中隔离。张笑春医生为何如此建议？</a></p>
<p><a href=""https://view.inews.qq.com/a/90Q54JC2D005DJ1V000?jumpType=1&amp;tbkt=G&amp;uid=100040937705"" target=""_self"">核酸检测与CT影响检测的区别是什么？ 目前国家卫健委印发的新型冠状病毒感染肺炎诊疗方案中，明确提到疑似病例具备：</a></p>
<p><a href=""https://view.inews.qq.com/a/90Q54JC2D005DJ1V000?jumpType=1&amp;tbkt=G&amp;uid=100040937705"" target=""_self"">（1）呼吸道标本或血液标本RT-PCR检测核酸阳性，或（2）上述标本基因测序高度同源，二者之一为确诊病例。核酸检测和基因测序是对病毒的基因序列进行检测，特异度较高，是目前较为理想的诊断依据。</a></p>
<p><a href=""https://view.inews.qq.com/a/90Q54JC2D005DJ1V000?jumpType=1&amp;tbkt=G&amp;uid=100040937705"" target=""_self""> 之所以有人提出建议使用CT影像替代核酸检测，是因为核酸检测并非病毒诊断的“金标准”（病毒分离培养为病毒诊断的金标准，但人力物力和时间无法达到目前的要求），可能存在假阳性和假阴性的情况，不同试剂盒的灵敏度和特异度不同，感染的不同时间段采样，质量控制，不同的采样手法，不同人的检测操作，甚至实验室可能产生的污染等，都很有可能影响检测结果。但是目前来说，通过多次核酸检测确认，是最为理想的方法，也是目前大多数医院所采用的诊疗方案。</a></p>
<p><a href=""https://view.inews.qq.com/a/90Q54JC2D005DJ1V000?jumpType=1&amp;tbkt=G&amp;uid=100040937705"" target=""_self"">胸部影像学检查（CT）是对肺部实质进行扫描，可以发现早期和进行性的器质性改变，但是根据患者个人的体质，检查的时间，不同操作医师的手法，设备的调试情况，诊断医师的经验，其他类似病症的干扰等因素，可能更难做到检测结果的标准化和一致化。 个人认为，本次的确诊病例，还是应该基于核酸检测和基因测序来确认；病人的接触史、物理诊断和影像学检测结果，可以作为非常重要的辅助诊断的依据。有明确的接触史或物理诊断或影像学检测结果，即使核酸检测结果为阴性，还是应该密切观察和注意，因为可能是假阴性的结果。</a></p>",北京医院临检中心副研究员,https://jiaozhen-70111.picnjc.qpic.cn/7kMcfDYVxAhh7pJXxfozXq?imageView2/2/w/300/h/300,2020-02-04,武汉大学中南医院影像科副主任张笑春教授疾呼：别再迷信核酸检测了，强烈推荐CT影像作为目前2019nCoV肺炎（诊断）的主要依据。仅凭一张CT片子可以向张笑春副主任说的替代试剂盒诊断判定新冠病毒感染吗？有什么依据？——来自较真用户@ACRG的提问。,腾讯较真,"<li><span class=""point_num"">1</span>之所以提出建议使用CT影像替代核酸检测，是因为核酸检测并非病毒诊断的“金标准”，可能存在假阳性和假阴性的情况，不同试剂盒的灵敏度和特异度不同，感染的不同时间段采样，质量控制，不同的采样手法，不同人的检测操作，甚至实验室可能产生的污染等，都很有可能影响检测结果。但是目前来说，通过多次核酸检测确认，是最为理想的方法，也是目前大多数医院所采用的诊疗方案。</li>
                <li><span class=""point_num"">2</span>胸部影像学检查（CT）是对肺部实质进行扫描，可以发现早期和进行性的器质性改变，但是根据患者个人的体质，检查的时间，不同操作医师的手法，设备的调试情况，诊断医师的经验，其他类似病症的干扰等因素，可能更难做到检测结果的标准化和一致化。</li>","钟堃,北京医院临检中心副研究员",别迷信核酸检测，应用CT影像作为新冠肺炎确诊标准,存在争议,{}
https://vp.fact.qq.com/article?id=351c889e5cb84488ae463e58f26f8351,<p/>,卓正医疗内科医生,https://jiaozhen-70111.picnjc.qpic.cn/vMtdA1eG7yfwq29QzLg5g?imageView2/2/w/300/h/300,2020-02-04,钟南山已经确认：武汉城家有猫咪和狗狗的家庭到目前为止，无一例感染，是因为猫咪和狗狗与人相处的过程中已经为主人的【冠状病毒】抗体加强了，所以可以肯定，家里有猫咪和狗狗的家庭在此次疫中不会被感染，家有猫咪和狗狗的家庭本次疫中百毒不侵的强者！！！世界卫生组织辟谣了，WHO官方回复！！猫狗身上缺少ace2酶，毒株s-蛋白无法结合，猫狗不会成为新冠状病毒的带毒生物！是真的吗？——来自较真用户@守护的提问。,腾讯较真,"<li><span class=""point_num"">1</span>首先，钟南山院士并未说过：到目前为止，武汉城家有猫咪和狗狗的家庭，无一例感染。</li>
                <li><span class=""point_num"">2</span>其次，目前没有证据显示家中养有猫狗可以降低人群感染新型冠状病毒的风险。但目前也没有证据显示家养的猫狗会感染新型冠状病毒，一直待在家里，没有接触到病毒的猫狗，是不会传染病毒的。所以，请不要因为恐慌弃养宠物，这是为人的责任；但也请不要因为恐慌去养宠物，因为不是发乎内心的领养势必带来疫情过后的大量弃养。</li>","余金泉,卓正医疗内科医生",养宠物的家庭不会感染新型冠状病毒,谣言,{}
https://vp.fact.qq.com/article?id=56646a0567134821291f7922070ed2cb,<p/>,天津市公安局官方微博,https://jiaozhen-70111.picnjc.qpic.cn/hRFpdQdjePo5XpV2zjSm7R?imageView2/2/w/300/h/300,2020-02-04,有网络传言称天津一车主在自己衣服上喷了含酒精的消毒水，在开车抽烟时引发燃爆。,腾讯较真,<li>据@平安天津 通报，网传视频画面为一起刑事案件。经调查，犯罪嫌疑人张某涉嫌一起故意杀人（未遂）案件，其逃逸时与车辆相撞，后引燃车内携带的汽油，造成大面积烧伤，后经抢救无效死亡。</li>,"平安天津,天津市公安局官方微博",天津一男子喷酒精消毒后开车抽烟引发燃烧,谣言,{}
https://vp.fact.qq.com/article?id=15e15199f6af07c3d48694d15cf48ace,<p/>,卓正医疗内科医生,https://jiaozhen-70111.picnjc.qpic.cn/b9fFi7kL4B9FC1LyghpmWs?imageView2/2/w/300/h/300,2020-02-04,已经检测出来高温可以杀灭冠状病毒的结果了。让病人发烧到39.6度以上就能痊愈，40度也没关系。 蝙蝠的正常体温就是40度，它可以和很多病毒共处而不受害。 如果对感染者继续采取降温的措施，其实就是在…… 第一，自私；第二，恐慌；第三，继续无知……那么每一次这样的疫情就都是清理人口。 ​​​这个是真的吗？——来自较真用户@ZEF的提问。,腾讯较真,"<li><span class=""point_num"">1</span>根据国家卫健委发布的《新型冠状病毒感染的肺炎诊疗方案（试行第四版）》，56℃加热30分钟可以有效灭活新型冠状病毒——但是，要靠人体发热达到灭活新型冠状病毒的温度和时间，怕是病毒还安然无恙，人先挺不住了 。对于轻症患者，最重要的处理原则就是隔离对症治疗。所以，放任身体发热不管的说法，是不靠谱的。</li>
                <li><span class=""point_num"">2</span>至于蝙蝠为什么携带病毒不发病，并不是因为它40℃的温度，而是因为蝙蝠具有其他哺乳类不具有的基因/通路，蝙蝠体内有一个称为“干扰素基因刺激蛋白-干扰素”的抗病毒免疫通道受到抑制，这可能使得蝙蝠刚好能够与病毒“和平共处”而不引发强烈的免疫反应（人类正是因为免疫系统与病毒对抗的反应，造成疾病伤害）。</li>","余金泉,卓正医疗内科医生",高温能杀病毒，让病人发烧到39.6度以上就能痊愈,谣言,{}
https://vp.fact.qq.com/article?id=4a412cc8d7d779ad09c5d24d29a4e596,<p/>,联合国系统内卫生问题的指导和协调机构,https://jiaozhen-70111.picnjc.qpic.cn/2HwCkjixgxyQREocY2HsYy?imageView2/2/w/300/h/300,2020-02-04,教大家一招，可以用生理盐水清洗鼻子，这样能有效预防新型冠状病毒感染。,腾讯较真,"<li><span class=""point_num"">1</span>没有证据表明，经常用生理盐水冲洗鼻子可以防止感染新型冠状病毒（2019-nCoV）。</li>
                <li><span class=""point_num"">2</span>有一些有限的证据表明，经常用生理盐水清洗鼻子可以帮助人们更快地从普通感冒中恢复过来。然而，经常清洗鼻子并不能预防呼吸道感染。</li>","世界卫生组织,联合国系统内卫生问题的指导和协调机构",定期用生理盐水清洗鼻子可以预防新型冠状病毒,伪科学,{}
https://vp.fact.qq.com/article?id=4d625e2d270d7e5b95cd1b1e1d9018ab,"<p>2月3日，网上流传一条消息称：“北京市今天起全市1000个药房网点投放口罩，统一4毛6分一个，10个一包。每天全市投放300万个，每个点3000多个。”还提供了一个附件，内容为朝阳区50家投放口罩的医药点。</p>
<img src=""http://inews.gtimg.com/newsapp_bt/0/11283221971/641"" alt=""undefined"" style=""float:none;height: undefined;width: undefined""/>
<p>这是真的吗？中国搜索拨打附件中提供的药店电话，在随机拨打的20多个电话中仅两家药店接通，分别为新龙药业集团京芝堂（北京）医药连锁有限公司大郊亭店和北京国大药房连锁有限公司芍药居店，接电话的工作人员均表示并没有接到投放口罩的通知。中国搜索发现广州、上海等多地也曾出现过同样的信息，均已被辟谣。</p>
<img src=""http://inews.gtimg.com/newsapp_bt/0/11283221974/641"" alt=""undefined"" style=""float:none;height: undefined;width: undefined""/>
<p>在今日举行的国新办就疫情防控重点医疗物资和生活物资保障情况发布会上，针对口罩难买的问题，工信部总工程师田玉龙表示，我国口罩的生产总体上产能是每天2000多万只，这个产能是全球最大的，N95口罩，医用外科口罩总体来看保证供应的能力是够的，但恢复需要时间。</p>
<p><strong>网警提示</strong></p>
<p>新型冠状病毒感染的肺炎疫情，牵动着全国人民的心，面对疫情，我们要科学防疫，多多查证，不造谣，不信谣，不传谣。不仅是对他人负责，更是对自己负责。</p>
<p>素材来源：新华社客户端、中国搜索</p>
<p>责任编辑：大乐乐</p>",北京市公安局网络安全保卫总队官方账号,https://jiaozhen-70111.picnjc.qpic.cn/bb87ba41941042d78af0c064af09a5a4?imageView2/2/w/300/h/300,2020-02-03,北京市今天起全市1000个药房网点投放口罩，统一4毛6分一个，10个一包。每天全市投放300万个，每个点3000多个。,腾讯较真,"<li><span class=""point_num"">1</span>多家药店工作人员在接收记者电话采访时均表示并没有接到投放口罩的通知。</li>
                <li><span class=""point_num"">2</span>广州、上海等多地也曾出现过同样的信息，均已被辟谣。</li>","首都网警,北京市公安局网络安全保卫总队官方账号",2月3日起北京1000个药房每天投放300万口罩,谣言,{}
https://vp.fact.qq.com/article?id=d65c00e4ccbde89720ed87fd9a9ee41b,<p/>,美国普渡大学农业与生物系食品工程专业博士,https://jiaozhen-70111.picnjc.qpic.cn/mYyCoGh25qrQyE3rgWThUy?imageView2/2/w/300/h/300,2020-02-04,简单治咳法，蝙蝠最怕高温。请把滚水。就是喝的开水滚开的汽。吸下去。就和吸烟一样。也许能解毒。太烫了。请注意安全——来自较真用户@光照全网友的提问。,腾讯较真,<li>如果水蒸气的温度很高，那么吸入会导致烫伤；如果温度已经降到不会烫伤，那么对病毒也没有杀伤力。另外，高温蒸汽只有跟病毒接触的时候有杀灭作用，之前和之后都没有。</li>,"云无心,美国普渡大学农业与生物系食品工程专业博士",蝙蝠最怕高温，请把喝的开水滚开的汽吸下去，能解毒,谣言,{}
https://vp.fact.qq.com/article?id=109c7987de99257a3e21061f97b19786,"<p>鞋底的材质，大多为天然橡胶或人工合成橡胶，部分会采取合成塑料材质。关于新型冠状病毒在不同材质的物品表面存活的数据，目前是缺乏的，但是我们可以借鉴以往关于甲型流感（H1N1）病毒在不同材质物品表面存活情况的研究数据。</p>
<p>2011年的一项研究观察了两种甲流病毒株（PR8和AH04）在日常不同材质物品的存活情况，结果提示流感病毒在大多数日常用的物体表面呈现快速丧失传染活性的状态。PR8流感病毒株9小时内仍可检测到少量活病毒的唯一材质是不锈钢，AH04病毒株9小时内仍有少量病毒活性的唯一材质是玻璃，其他材质（包括橡木/橡胶、合成塑料）大多数在9小时内就未见病毒活性，感染力在4-9小时即趋于消失。</p>
<p>当然，不同的病毒在物品表面存活时间不同，但是规律往往是类似的。</p>
<p>综上，外出回家后，可将鞋子置于门外通风的地方，或者放在玄关处，更换干净的居家拖鞋，放置一定时间后，即使有踩踏到污染物，也就没有了病毒的感染活性。但是，确实不必恐慌，外出刚好踩踏到新冠状病毒新鲜污染物的概率是很低的，咱们也不会闲着没事用手去抠鞋底，所以通过鞋底传播病毒的概率是比较低的。至于是否需要喷洒消毒水，基于以上概率，实际上必要性并不大，当然，如果家里确实消毒水不缺，我们也并不反对。</p>
<p/>",卓正医疗内科医生,https://jiaozhen-70111.picnjc.qpic.cn/iEn4z9f36aASyRhvxiLjb6?imageView2/2/w/300/h/300,2020-02-04,"转：紧急提醒各位：鞋！鞋！鞋！重要的事情说三遍！
​​​钟南山院士今天紧急公开了一项最新医学发现：此次新冠肺炎病人的粪尿和唾液中均检测出大量病毒核酸！粪口传播成为新冠肺炎区别于非典SARS的一个重大特征，新冠肺炎传染性更强大更隐蔽，需要高度警惕！这次我们把接触及可视病人的防护重点放在口罩，护目镜和手套上，但明显防护不够！大家都轻视了一个比口和手更隐蔽和危险危险的部位，那就是你的脚！因为你不知道病毒携带者在哪里吐痰了，呕吐了，大小便了，你以为自己远离人群就没事了，但只要你上过一趟公厕，或者是你脚下踩过病人吐的痰或便溺，你就已经踏上了一颗定时炸弹，你携带病毒的鞋和你一起回家后，一人回家，全家遭殃！ 再次强烈建议：尽量不要外出溜达，出门工作和购物后，进门前，你的鞋一定要严格喷洒消毒水！或把鞋放在门外，并与居室隔离，除了做好个人卫生，家里还需要每天喷洒一次消毒剂。",腾讯较真,<li>外出回家后，可将鞋子置于门外通风的地方，或者放在玄关处，更换干净的居家拖鞋，放置一定时间后，即使有踩踏到污染物，也就没有了病毒的感染活性。但是，确实不必恐慌，外出刚好踩踏到新冠状病毒新鲜污染物的概率是很低的，咱们也不会闲着没事用手去抠鞋底，所以通过鞋底传播病毒的概率是比较低的。至于是否需要喷洒消毒水，基于以上概率，实际上必要性并不大，当然，如果家里确实消毒水不缺，我们也并不反对。</li>,"余金泉,卓正医疗内科医生",出门回来后，一定要对鞋喷洒消毒水或把鞋放在门外,有失实,{}
https://vp.fact.qq.com/article?id=482cc8be9c8f86c31f4d7789630cda5c,"<p>84消毒液主要成分为次氯酸钠。次氯酸钠在用于消毒的时候，会产生活泼的氯原子，氯原子具有极强的氧化性和腐蚀性，正是因为有了它，才具有高效的杀毒性能。但是，氯原子对人的健康也有威胁，两个氯原子就可以结合成氯气，所谓的“消毒水味道”，其实就是氯气的气味，浓度较高时会伤害呼吸道。所以，使用次氯酸钠（84）时，一定会产生有毒气体，一定要稀释后使用，以免浓度过高。</p>
<p>当次氯酸钠和酒精混合之后，首先是会降低两者的消毒效果，没有意义。其次，尽管两者并不会直接发生反应，但由于次氯酸钠缓慢分解产生氯原子，容易造成一系列复杂的反应，产生含氯的有机物。含氯有机物对人体大多有害，并且具有累积毒性，是一类需要慎重对待的污染物，因此，不建议将次氯酸钠和酒精混用。</p>",清华大学化学博士,https://jiaozhen-70111.picnjc.qpic.cn/oQ9PXJ8kvYzfbj6e4535Vt?imageView2/2/w/300/h/300,2020-02-04,最近朋友圈很流行这段提示：“提示警示：请大家嘱咐家人，在消毒防疫时，84消毒液与酒精不可混用！ 混用可能产生氯气，氯气为毒性气体，混用可能会导致中毒！切记！” 小生不才，家中无试纸无法实验，个人认为在自然条件下次氯酸钠和乙醇不会发生反应，从而产生氯气，求化学专家，求辟谣！——来自较真用户@飞的提问。,腾讯较真,"<li><span class=""point_num"">1</span>84消毒液主要成分为次氯酸钠。次氯酸钠用于消毒时会产生活泼的氯原子，氯原子具有极强的氧化性和腐蚀性，正是因为它，才具有高效的杀毒性能。但是，两个氯原子就可以结合成氯气，所谓的“消毒水味道”，其实就是氯气的气味，浓度较高时会伤害呼吸道。所以只要使用84，就一定会产生有毒气体，这跟酒精没有关系。84一定要稀释后使用，以免浓度过高。</li>
                <li><span class=""point_num"">2</span>当次氯酸钠和酒精混合之后，首先会降低两者的消毒效果。其次，尽管两者并不会直接发生反应，但由于次氯酸钠缓慢分解产生氯原子，容易造成一系列复杂的反应，产生含氯的有机物。含氯有机物对人体大多有害，并且具有累积毒性，是一类需要慎重对待的污染物，因此，不建议将次氯酸钠和酒精混用。</li>","孙亚飞,清华大学化学博士",消毒时，84消毒液与酒精不可混用，会产生氯气,有失实,{}
